Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","93.172259","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","93.778093","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","93.758775","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","94.05707","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","94.298961","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","94.654556","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","95.378491","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","96.011935","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","96.192918","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","96.192918","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","96.464394","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","97.007346","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","97.821773","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","98.49683","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","98.826917","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","99.077274","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","99.098011","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","98.880931","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","99.039605","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","99.232748","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","99.116332","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","99.098783","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","99.631612","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","99.586162","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","99.707724","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","100.11854","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","100.462931","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","100.590442","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","100.442693","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","100.711621","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","100.898499","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","101.188153","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","101.909329","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","101.923031","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","102.281018","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","102.845479","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","102.775283","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","102.529221","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","102.389883","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","102.583574","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","102.663329","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","103.170177","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","103.251289","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","103.912699","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","103.647298","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","103.3437","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","103.763051","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","103.884732","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","104.208769","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","104.30575","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","104.608668","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7009","September","6125","Value","","104.964355","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7010","October","6125","Value","","105.064495","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7011","November","6125","Value","","104.167174","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","230132","Consumer Prices, Food Indices (2015 = 100), median","7012","December","6125","Value","","103.984887","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7001","January","6125","Value","","104.631403","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7002","February","6125","Value","","105.203606","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7003","March","6125","Value","","104.747722","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7004","April","6125","Value","","104.805033","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7005","May","6125","Value","","104.991046","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7006","June","6125","Value","","105.392309","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7007","July","6125","Value","","105.828471","E","Estimated value","base year is 2015"
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","230132","Consumer Prices, Food Indices (2015 = 100), median","7008","August","6125","Value","","106.646701","E","Estimated value","base year is 2015"
